label,text
Fraudulent,SOBE INFORMED THAT THE AMOUNT TO BE PAID NOW IS $8.3 MILLION THE REST WILL BEPAID LATTER.We expect your urgent response to this email to enable us monitor this payme=nteffectively..CONGRATULATIONS.Anx...
Fraudulent,"PRIVATEDear sir/Madam,I am Ben Maluleke, a Native of Cape Town in South Africa and I am an Executive Accountant with the South Africa Department of Mining & Natural Resources. First and foremost, I ap..."
Fraudulent,"DR.SOLOMON AZEEZ FEDERAL MINISTRY OF PETROLUEM RESOURCES(F.M.P.R) LAGOS NIGERIA. ATTN:SIR, REQUEST FOR ASSISTANCE- STRICTLYCONFIDENTIAL I am Dr SOLOMON AZEEZ, an accountant in the Ministry of petroleu..."
Fraudulent,"FROM:MR. MR. HASSAN IBRAHIM.BILL AND EXCHANGE DEPARTMENT,BANK OF AFRICA(B.O.A),DAKAR, SENEGAL.Dear friend,I know that this letter may come to you as a suprise. I got your contact address from the Inte..."
Fraudulent,Attn=2C Greeting=2C I solicit your confidence in this transaction that I propose to you=2E This is by virtue of its nature as being utterly CONFIDENTIAL=2E Though I know that a transaction of this ...
Fraudulent,"Dear friend,I am Mr.BALA KABORE,personal assistant Branch Manager of Bank Of Africa(BOA)Ouagadougou Burkina Faso,West Africa. I want to inquire from you if you can handle this transaction for mutual b..."
Fraudulent,DEAR SIR.I AM A GIRL OF 25 YEARS AND I AM LOOKING FOR INVESTMENT OPPORTUNITY.I INTENDED TO INVEST THE SUM OF TWENTY MILLION UNITED STATES DOLLARS =INHERITED BY MY LATE FATHER.I AM FROM ZIMBABWE.BUT ...
Fraudulent,Dear friend=2CMy name is Barrister John Mensah=2C 4Fraudulent years Ghanaianmarried with Five Children=2E I work as anadministrative Secretary=2FAttorney with GLOBALSECURITY COMPANY =28ltd=29 Accra Ghana=2E I ...
Fraudulent,"I AWAIT FOR YOUR URGENT REPLY . FAITHFULLY, ENGINEER ADISON KRIST --------------------------------..."
Fraudulent,"ct of your assistance and account provide for the tranfer, 55% will be my s=hare being the pioneer of the business while the rest FraudulentNormal% will be used to i=nstall a joint company in your country which wil..."
Fraudulent,"DEAR Friend,Please reply to ""nzangamobutu@ecplaza.net""I know that this letter will come to you as a surpriseconsidering the fact that we have not met before.Maythe Almighty God bless you as you read t..."
Fraudulent,Dave =96 for IP if you wish. An arrested click-fraudster who claimed to=2Normal==2Normalmake $3Normalk a month via Google click-fraud is now freed because of a=2Normal=2Normalpossible lack of cooperation from Google.http://ya...
Fraudulent,STRICTLY PERSONALMy name is MRS JULLIET ABRAMS. I am the credit manager in a bank here in the Republic of Benin. I am contacting you with regard to transfer of a huge sum of money from a deceased acco...
Fraudulent,Greeting=2CSir=2CI am contacting you believing you are a honest and trustworthy person=2EI believe you will not betray the confidence I am willing to repose in you=2C for me to have contacted you even...
Fraudulent,"Best regards, Ron Sinclear. ronsinclear@netscape.net"
Fraudulent,"Mr.Soo ChoCHO HUNG BANK.Fraudulent4 Fraudulent-ka Namdaemun-ro Chung-kuSeoul, Seoul FraudulentNormalNormal-757South Korea.www.chohungbank.co.kr I am Mr.Soo Cho, credit officer of CHO HUNG BANK. I have anurgent and very confidential busi..."
Fraudulent,"Fraudulent9floor Eugene Marais Avenue, Constantia, South AfricaDear I sincerely ask for forgiveness for I know this may seem like a complete intrusion to your privacy but right about now this is my option of c..."
Fraudulent,"company as the beneficiary and you are been paid for a contract,which you= executed for our country through the NDDC. For your support and partner=ship,please reply me to negotiate your fees or the p..."
Fraudulent,"FROM THE DESK OF MR MARK AKIMA.BILL AND EXCHANGE MANAGER,BANK OF AFRICA (B.O.A).OUAGADOUGOU, BURKINA FASO WEST AFRICA.PHONE CONTACT NormalNormal226.78.89.77.34.DEAR FRIEND,I AM THE MANAGER OF BILL AND EXCHANGE ..."
Fraudulent,"DIRECTOR, PROJECT IMPLEMENTATIONFEDERAL MINISTRY OF HEALTH ANDSOCIAL SERVICES, DAKARSENEGAL.STRICTLY CONFIDENTIALDEAR Sir,TRANSFER OF US$Fraudulent9.5 MILLION INTO A PERSONAL/COMPANY'S OFFSHORE ACCOUNTBased on..."
Fraudulent,<html><div style='background-color:'><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV><DIV class=RTE><DIV><DIV><EM><FONT siz...
Fraudulent,"proposal. I ask that if you find no interest in this project that you should discard this mail. I ask that you do not be vindictive and destructive. If my offer is of no appeal to you,delete this mess..."
Fraudulent,"<DIV></DIV><DIV><STRONG>Pretoria (FCT), </STRONG></DIV><DIV></DIV><DIV><STRONG>South Africa.</STRONG> </DIV><DIV></DIV><DIV></DIV><DIV>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp..."
Fraudulent,"Good Day Dear Friend,My name is Mr. Femi Gidado, manager, credit and oreign bills of CENTRAL BANK OF NIGERIA (C.B.N). I am writing in respect of a foreign customer of my bank with account mberFraudulent4-255-2..."
Fraudulent,"(""REMITTANCE OF $Fraudulent5 MILLION U.S.A DOLLARS = CONFIDENTIAL IS THE CASE"")Compliments Of The Season 2NormalNormal7, Forgive my indignation if this messag..."
Fraudulent,"<DIV><DIV><DIV>Dear Sir,<BR><BR>I am&nbsp; Ahmed Usman,Bank Manager of Union Bank PLC,Lagos<BR>Branch.I got your contact from the world trade center<BR>(WTC) Regional office in lagos,Nigeria.Although ..."
Fraudulent,Dear Sir=2FMadam=2CI am writting this letter out of a genuine desperation to find a reliable partner in the unfolding transaction=2EI have been unjustly treated by my partner in a transaction so=2CI s...
Fraudulent,"<html><head><title></title><meta content=3D""MSHTML 6.NormalNormal.28NormalNormal.FraudulentFraudulentNormal6""name=3D""GENERATOR"" /></head><body>URGENT BUSINESS PROPOSAL <br />Kindly allo=w methe modesty of introducing myself. I <br />am Gregory..."
Fraudulent,Please note that your areas of specialization or occupation is of no relevant to resolve to assisting us. Please do endevour to fill the form below to enable us creat a file for you and prepare every ...
Fraudulent,>From Musa Ngueto=2E Dakar-Senegal Dear Sir=2C I would like to apply through this medium for your co-operation and to secure an opportunity to invest and do joint business with you in your country=2EI...
Fraudulent,"Our clients are well known Al-Qaida, Hizballah, Al-Jihad, HAMAS, AbuSayyaf Group and many other terrorist groups. We are well knownsupplier in the market and looking forward to expand our clientagewit..."
Fraudulent,"I am sure that this letter will come to you as a surprise, but I shall be grateful if you would read with the interest of assisting in this proposal tendered herein.My name is Barrister kone james,..."
Fraudulent,QkFSUklTVEVSIFJJQNormalhBUkQgVNormallMUNormal9OLgpSSUNIQVJEIFdJTFNPTiAmIEFTUNormal9DSUFURVMKREFLQVItUNormalVORUdBTApURUw6ICsgMjIxIDQxODMzMTcKRWFraudulenthaWw6IGJhcnJ3aWxzb25Aa2FNormalYWFraudulenthaWwuY29tCgpEZWFyIEZyaWVuZCwKCkkgYWNormalgQmFycmlzdGVyIFJp...
Fraudulent,"Pretoria (FCT),=2NormalSouth Africa.=2Normal =2Normal =2Normal PRIVATE AND CONFIDENTIAL=2Normal Warm Greetings,=2Normal I know you will be surprise to receive this letter f..."
Fraudulent,receip of your mail indicating Interest. I want to assure you that=2Normalthere is no risk attached in this Transaction. You should also provide me= with=2Normalyour private telephone and fax Numbers for easier...
Fraudulent,Dear Sir=2FMadam=2CI got your contact from an email directory and decided to contact you for assistance=2E I am the son of JOHNSON SAVIMBI the rebel leader in Angola who was short dead on the 25th of ...
Fraudulent,Dear friendI am writting this letter with due respect and heartful of tears since we have not known or met ourselves previously=2E I am asking for your assistance after getting your contact from a rel...
Fraudulent,"Email:barr.garethjones@fsmail.net=NormalD=NormalA=NormalD=NormalAAttn:Sir/Madam,=NormalD=NormalA=NormalD=NormalAMy =name is Barrister Gareth Jones, a lawyer in the Chambers of Nabarro Nathans=on (Legal Practitioners) in London. I am writin..."
Fraudulent,IT IS WITH HEART FULL OF HOPE THAT I WRITE TO SEEK YOUR HELP IN THE CONTEXT BELOW=2EI AM MRS=2C MARIAM ABACHA =28WIDOW=29 THE WIFE OF FORMER HEAD OF STATE OF NIGERIA=2C GENERAL SANI ABACHA WHO'S SUDDE...
Fraudulent,ASSISTANCE REQUIRED FOR ACQUISITION OF REAL ESTATES=2EDear sir=2CI write to inform you of my desire to acquire estates or landed properties in your country on behalf of the Director of Contracts and F...
Fraudulent,"Dear Sir, I am Engr. Victor Chigoziem with the Engineering StoresDepartment of the Federal Ministry of Agriculture and Natural Resources and member of Tenders Board. We have urgent need for a trustwor..."
Fraudulent,"From:Frank JewellSmith & WilliamsonPrivate Banking ServicesRiding HouseExtension,London, UkDear Friend,I am Mr. Frank Jewell, the accounting officer-in charge of the Privateinvestment section of the a..."
Fraudulent,RS ATIYA MOHAMEED Dear=2EDirector It is my pleasure to write this mail to you and to say thanks for your effort in providing an opportunity to read my mail=2E I got your contact when i was makin...
Fraudulent,"Solicitors, Corporate & Property Consultants.South Africa.Dear Sir,I hope this meets you in good well. My name is Sizu Zamba (Esq). a legal =practitioner and Attorney to late Mr. Ziya Bazhayev wh..."
Fraudulent,"#45 Rue Grand Yorf,DAKAR, SENEGAL.Assalamaulakum.My Dear Friend,Compliments of the day.I did like to send to you the best wishes of good health and success in your pursuits particularly through my pro..."
Fraudulent,"Magnum Funds25 Maiden Lane Covent Garden London WC2E 7JSHello,Do accept my sincere apologies if my mail does not meet your personal eth=ics.I will introduce myself as Mr.Robbin Kuuk, a staff in the ac..."
Fraudulent,"FROM RICHARD AND JanetDear sir,I am Sanko Richard the only son of late former Director of finance, Dr=2NormalJohnson Sanko of Sierra-Leone diamond and mining corporation.I must confess my agitation is rea..."
Fraudulent,"MR.FAN JEN-LIANG.SHANGHAI COMMERCIAL BANK LIMITED,UK BRANCH65 CORNHILL LONDON EC3V 3NP,UNITED KINGDOM.Greetings,I would not have used this medium (Internet) but I choose to reach youthrough it because..."
Fraudulent,"MANCHESTER (WA) 2Normal5Fraudulent5 Greetings, As you read this, I don't want you to feel sorry forme, because I believe everyone will die someday. Myname is Mr.CAMPBELL WILLIAM, from NEW ZEALAND, I havebeen dia..."
Fraudulent,"<DIV>BARR.PAUL RICHARD (esq)<BR>Terry waya Chambers<BR>4Normal9 Nortonburg,<BR>Accra,Ghana-West Africa.<BR>Reply to:<FONT color=#NormalNormalNormalNormalff>richardpaulFraudulentFraudulentFraudulent@yahoo.com<BR></FONT>Telephone +233-246Fraudulent49832,<BR>&nbsp..."
Fraudulent,"<DIV id=3DRTEContent>Hello,</DIV><DIV>My name is Mrs.Jennifer Wilson I am a dying woman who had decided to d=onate what I have to you. I am 59 years old and was diagnosed for <BR>cance=r about 2 years..."
Fraudulent,We have received a payment credit instruction from the federal Government of Nigeria to credit your account with your full contract funds from the Nigerian reserve account with our bank. This is to no...
Fraudulent,BARRISTER BASIL EZE=2ENWOKES CHAMBERS=2ESUITE FraudulentNormal9 OKON HOUSE MARINA VILAGOS-NIGERIA=2EE-MAIL=3A bakko=5Fbakko=4Normalyahoo=2EcomDear friend=2CI am Barrister basil eze personal attorney to Mr=2EJeff Baroco=...
Fraudulent,We were married for fiften years without a child. He died after a brief illness that lasted for only two weeks . Before his death we are happy husband and wife Christian family. Since his death I...
Fraudulent,"FROM THE DESK OF MR IRU DUNU EDWINAUDITING AND ACCOUNTING MANEGER ,BANK OF AFRICA (B.O.A)OUAGADOUGOU-BURKINA FASO.Dear Friend,I am the manager of auditing and accounting at the foreign remittance depa..."
Fraudulent,"=0DGod bless you and as you receive give God the glory.=0DMs Sharma Taylor.=0D=0D=0DExperience I-Phone Network !=0DStay in touch with I-Phone Network Email, Online Shopping at www.i-phone.or=g and mo..."
Fraudulent,DEAR SIR=2CHOW ARE YOU AND YOUR FAMILY=3F I HOPE ALL IS WELL=2EYOU WILL BE SURPRISE TO RECEIVE THIS LETTER BUT WHENYOU GO THROUGH IT YOU MIGHT NOT BE SURPRISE AGAIN IFTHE INFORMATION HAS SOMETHING TO ...
Fraudulent,"Dear Sir,I am Engr. Ugo Nzego with the Engineering Stores Department of the Federal Ministry of Agriculture and Natural Resources and member of Tenders Board. We have urgent need for a trustworthy for..."
Fraudulent,_____________________ Your Complete Address (Physical Address with Zip Code)__________________________ Date of Birth (Day/Month/Year):___________________ Direct Telephone/Mobile Number: _____________...
Fraudulent,"Dear Sir/madam,I have a client who would like to invest in your country, and am currentl=yseeking for a reliable person to assist in facilitating the project, sothis prompts me to contact you for poss..."
Fraudulent,From=3A Mrs Farah al-HashemiAddress=3A Chiang Rai hospital 3Fraudulent-Fraudulent2 Chiang Rai - Lampoon Rd=2C =2CChiang Rai Thailand Dearest Beloved=2CThank you for the attention beeing gi...
Fraudulent,">From The Desk Of,Mr James Owusu.Dear Friend,My name is Mr James Owusu . I am the Regional Manager of Ghana west Africa Bank Ghana, accra branch Ghana. I write you this proposal in good faith; I am m..."
Fraudulent,Dear Beloveth=2EI am Mrs=2E Fatima Rasheed Khalifa a widow to Late Sheik Mohammed Rasheed Khalifa am 64years old =2EPresently i am suffering from long time cancer of the breast from all indications my...
Fraudulent,MR WILLIAM DRALLO BANQUE TOGOLAISE DE DEVELOPPEMENT. LOME-TOGOI AM THE MANAGER BILL AND EXCHANGE OF THE FOREIGNREMITTAN...
Fraudulent,Dear friend=2CGreetings to you=2EPlease pardon me for contacting you without any formal appointment or communication do consider my status as asylum seeker inDakar Senegal=2EI will like to seek your a...
Fraudulent,"URGENT BUSINESS TRANSFERI know that this will come to you as a surprise since we don't know eachother before. For the purpose of introduction, I am MR JOB TUTU the chiefauditor of amalgamated bank of ..."
Fraudulent,"Direct and private cell number +447024075280Direct and private Telephone + 4487Fraudulent4749902Direct and private fax number + 44870Fraudulent3Fraudulent0683Dear Friend,I am Mr. T. smith , deputy senior regional manager at L..."
Fraudulent,"YOUR IMMEDIATE CONTRACT PAYMENT . CONTRACT#:MAV/NNPC/FGN/MIN/009. Our records of outstanding contractors due for payment, with the federalgovernment of Nigeria, Your name and company was discovered a..."
Fraudulent,"Dear Sir, It is my great pleasure to write you this letter onbehalf of my colleagues. Your information were givento me by a member of the South African ExportPromotion Council (SA..."
Fraudulent,We have set assude 20% percentage of the cash will beyour's after you receive the consignment/funds. Then youwill open an account in your country with my name anddeposit our 80% percentage of the cash...
Fraudulent,Dear Sir=2C Compliments of the day=2C before I proceed=2C I must be grateful to introduce myself=2E I am Mr=2E Eddy G=2E Ibe=2C the son of the late Gen=2E Robert Ibe Guere of the then military governm...
Fraudulent,"Greetings,This correspondence is unofficial and private,and it should be tr=eated as such.I am Mr.VINCENT F.YUVAL, a United Kingdom Government Auditor =and I work in the International operation depart..."
Fraudulent,From=3AMrs=2EAmina=2EA Bello=2E Attention=3AThe Managing Director=2EThis mail is not intended to cause any embarrassment in whatever form to you but i must solicit your confidentiality=2C i know a pro...
Fraudulent,"I am Hon.Dr.Garuba Gambo, Minister Foreign Affairs Ministry; my office monitors and controls the affairs of all banks and financial institutions in Nigeria concerned with foreign contract payments. I ..."
Fraudulent,"<P>25 Adefobi Street, <BR>Ikoyi Island, <BR>Lagos. <BR>&nbsp;&nbsp;&nbsp;&n=bsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp=;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp..."
Fraudulent,"<DIV><FONT size=3D3>From:Mrs Elizabeth Boniface</FONT></DIV> <DIV><FONT =size=3D3>Tel:00225 08 72 45 92</FONT></DIV> <DIV><FONT size=3D3>Fraudulent6,Rue d=es jardins Cocody <BR>les Deux-Plateaux <BR>Abidjan ..."
Fraudulent,"Falomo Complex, Ikoyi- Lagos.dglobalfax@yahoo.comI am Edwin Useni, a director in the project and planning department of the Nigeria National Petroleum Corporation (NNPC), I head a seven man Tenders Bo..."
Fraudulent,"""MY GOOD WILL""Good day and God bless,Greetings to you in the name of God Almighty. I am former Mrs. Memunat Farouk Hasan, now I am Mrs. Rebecca Farouk Hasan a widow to Late Farouk Hasan Muhammad.I am..."
Fraudulent,RHIuIERhbmllbCBTb2xvdw0KRGlyZWN0IFRlbDogKzI3LTgzOS00OTQyODgsICs4ODItMTYFraudulentMS0xNDE0NjcsICs4NzMtNzYyLTkyMjkyNQ0KRGlyZWN0IEZheDogKzg3My03NjItOTIyOTI2IA0KUGVyc29uYWwvcHJpdmF0ZSBlbWFpbDogRFNvbG93QGxhdGlubWFp...
Fraudulent,"http:/ews.bbc.co.uk/Fraudulent/hi/world/europe/859479.stm=20SINCE WE GOT INFORMATION ABOUT HIS DEATH, WE HAVE BEEN EXPECTING HIS NEXT O=F KIN TO COME OVER AND CLAIM HIS MONEY BECAUSE WE CANNOT RELEASE IT UNLES..."
Fraudulent,Greetings from UAEHIGHLY CONFIDENTIAL=2EI decided to contact you by email because I feel that it is more secured and private=2E I am Nasser Bin Nasiri=2C Director of Procurement and Contract Award wit...
Fraudulent,"Dear friend,I want to solicit with you for assistance in regards to a financialtransaction. I am the son of one of the foremost and rich black farmers inZimbabwe that was murdered for land dispute in..."
Fraudulent,"UNION BANK OF NIGERIA PLC # Fraudulent45 BANK RAOD VICTORIA ISLAND LAGOS NIGERIA. ATTN:DearPLS REPLY TO MY PRAVATE BOX suleman775@mailsurf.comURGENT BUSINESS PROPOSALFirst, I must solicit your..."
Fraudulent,Salam I would like to apply through this medium for your co-operation and to secure an opportunity to invest and do joint business with you in your country=2EI have a substantial capital i intend to i...
Fraudulent,"Dear Friend In Christ, I believe you will treat this mail with the fear of God. It is with tears that I am writing you this mail; I don`t need your pity, but love to my son. My mail..."
Fraudulent,Mr=2E Demba GayeVilla Fraudulent39 SicapDiuppel DakarSenegal=2EBP 234 Liberte Dakar=2EAttn=3ACEORe=3A Investment PartnershipIt is a delight to have your esteemed contact=2C hencemy pleasure to inform you that ...
Fraudulent,Dear Good day!!=2E Compliments of the day and my best wishes to you and family!!!=2E I know this letter will come to you surprisingly but let it not be a surprise to you=2C for nature has a way of arr...
Fraudulent,"DEAR FRIEND,MY NAME IS DR.HAMEED SOGOLO,THE BRANCH MANAGER OF ZENITH INT'L BANK, ENUGU BRANCH, NIGERIA AND IT IS WITH TRUST AND CONFIDENCE THAT I AM WRITING THIS MAIL TO YOU. I WOULD LIKE TO DO A VE..."
Fraudulent,"My name is muthar bola ige, the eldest son of the slain Attorney General =and Chief Justice of Nigeria, Chief Bola Ige. I got your contact in my se=arch for a reliable and trustworthy partner who i ca..."
Fraudulent,"PHONE# + 229-40-35-48Office email:projectag@latinmail.comDear Sir,Compliments Of The Day, Permit me to introduce myselfto you. My name is DR Andrew Godson,a top ManagementOfficial of the above Financ..."
Fraudulent,"Dear Friend,My name is Edward Moore QC.Principal partner Edward Moore & AssociatesLondon UK and I was compelled by my late client's request to contact youon a matter of great financial reward.My clien..."
Fraudulent,this matter and I also want to guarantee you that my partner and myselfare in a better position to make the payment of this claim possibleprovided you can give us a very strong assurance and guarantee...
Fraudulent,"CTLY PRIVATE BUSINESS PROPOSAL=0D=0AI am Mr. Lawrence Smith. A, the bills= and exchange Director at=0D=0Athe Foreign Remittance Department of the C=entral Bank of=0D=0ANigeria. I am writing you this l..."
Fraudulent,"<DIV id=RTEContent>Dear, May the blessing of God be upon you and grant you the wisdom and sympathy to understand my situation and how much I need your help. I am KAMARA FOFANA the first son of Taylor ..."
Fraudulent,Dear Partner=2C Following the sudden death of my husband General Sani Abacha the late former head of state of Nigeria in JuneFraudulent998=2C I have been thrown into a state of utter confusion=2Cfrustration an...
Fraudulent,"Mrs. Grace ObasekiFlat 8 Block Fraudulent2 NNPC QuartersGarki Abuja NigeriaEmail, graceobaseki2004@yahoo.comHELLO DEAR.I presume this letter will come to you as a surprise, butas things unfold, we will know e..."
Fraudulent,"E-MAIL:obilolo@netscape.net E-MAIL:bello_dd@doctor.com Dear Friend, My name is DR,IDRIS BELLO, a member of the Presidential Task Force on Oil Spillage Clean-up. Early last year there was a major oil s..."
Fraudulent,"AMMAN JORDANE-mailaddress:elosuba@o2.plDEAR:Sir,My Name is ELOS UBA,an Iraqis National from the Kurds an Accountantin Oil refinery in Durra. I am presently in Amman, Jordan Capital sinceU.S.strike Ira..."
Fraudulent,Dear=2CI Hope This Mail Meets You In Good Health And Spirit=2C I Am=2C Mariam Mohamed=2C A Sierra Leonia=2E Presently=2C I Live As A Refugee In republic of senegal dakar =2CWith My Younger Brother San...
Fraudulent,"Good Day, My name is Mrs elizabeth jemma.=20I came in contact with your profile and therefore picked interest for a b=usiness relationship with you,though I have not met with you before but I= be..."
Fraudulent,"FROM AUDITOR DR CHARAKHEAD OF DEPARTMENTBANK OF SCOTLANDUNITED KINGDOMCONTACT ME PRIVATELY THROUGH THIS EMAIL BOX:charakroultwell_bankofscotland@latinmail.com DEAR PARTNER, IN ORDER TO TRANSFER OUT ( ..."
Fraudulent,"FROM MR.MAZURI MARTINSJOHANESSBURG,200FraudulentREPUBLIC OF SOUTH AFRICA.PHONE+27 73 Fraudulent30 8560 STRICTLY CONFIDENTIALSir/Madam,You may be surprised to receive this letter fr..."
Fraudulent,Dear Sir=2CI Am Mrs=2E Safinatu Al Mustapha The First Wife Of Major Al MustaphaThe Chief Security Officer =28Cso=29To Major General Sani Abacha Who Diedin Office =2E Since The Death Of The President...
Fraudulent,"Dear Friend, I am Mrs. Mariam. Abacha, the widow of General Sani Abacha the Late Nigerian Head of State. I am presently in distress and under house arrestwhile my son Mohammed is undergoing trial in L..."
Fraudulent,"for your assistance to handle this important and confidential business <BR>believing that you will never let me down either now or in future. I am <BR>MR. BENJAMINE S.ADAM, the OPERATIONAL MANAGER of ..."
Fraudulent,"[Strictly confidential]I am Mr.Kemass mcdonald , the operational manager inaccount management section in charge of credit andforeign bills of one of the prime banks here in SouthAfrica. I a..."
Fraudulent,"<P>From The Desk Of&nbsp; ALI SAITA&nbsp; <BR>Senior Staff In File Depart=ment,<BR>African Development Bank A.D.B<BR>Ouagadougou Burkina-Faso<BR>We=st Africa.</P><P>Private Number......00226 76 52 47 ..."
Fraudulent,"until the task is accomplished,as I don't want anything that will Jeopardize my lastwish, due to the fact that i do not want relatives or family members standing in the way of my last wish.love,Jennif..."
Fraudulent,From=3A Mrs Farah al-HashemiAddress=3A Chiang Rai hospital3Fraudulent-Fraudulent2 Chiang Rai - Lampoon Rd=2C=2CChiang Rai ThailandDearest Beloved=2CThank you for the attention beeing given to go through my mail=2EI am ...
Fraudulent,FAX:+3Fraudulent-847-355-Fraudulent96.REPLY EMAIL:mrkarlwwinsloww@aim.com***********************************************All winnings must be notarized to complete the claim process; winners will be referred to a Foreig...
Fraudulent,This sum arose from the deliberated over-invoicing of a contract awardedby my ministry Nigerian National Petroleum Corporation to foreign firm inthe twinlight days of the last military regime. This co...
Fraudulent,e your company=92s name to apply for the payment and backdate the award of= the contract in favour of your company. We are looking forward to doing th=is transaction with you and we solicit for your ...
Fraudulent,"Zhang He, Bank of China.. ShenzhenChina. Dear Friend, I am Zhang He, Bank Manager of the Bank of China, Shenzhen branch, China. I have an urgent and very confidential business proposition for you. On ..."
Fraudulent,"DEAR FRIEND,THROUGH THE COURTESY OF BUSINESS OPPORTUNITY, I TAKE LIBERTY ANCHORED ON A STRONG DESIRE TO SOLICIT YOUR ASSISTANCE ON THIS MUTUALLY BENEFICIAL AND RISKFREE TRANSACTION WHICH I HOPE YOU WI..."
Fraudulent,"FROM BONGO WALEJOHANNESBURG,SOUTH AFRICA.TELL:+27-732FraudulentFraudulent2866.Dear sir,I am MR, BONGO WALE, the son of lateMR.PATRICK WALE, who was murdered in a land disputein ZIMBABWE.I got your contact during my sea..."
Fraudulent,"mpliments, I am writing this letter in confidence believing that if it is =the wish of God for you to help me and my family, God almighty will bless a=nd reward you abundantly.My family and I are tru..."
Fraudulent,Greetings from UAEHIGHLY CONFIDENTIAL=2EI decided to contact you by email because I feel that it is more secured and private=2E I am Nasser Bin Nasiri=2C Director of Procurement and Contract Award wit...
Fraudulent,"Mr.Ben AniFiniacial Trust bankLagos NigeriaCan you invest $20,500,000 (Twenty million five hundred thousand united states dollar) that will be under your control in your country?This amount will be..."
Fraudulent,"<DIV> <DIV> <DIV> <DIV><STRONG>From :Joy&nbsp; SOU,</STRONG></DIV> <DIV><STRONG>Fraudulent5 rue Paris Villa Cocody,<BR>Abidjan Cote d'Ivoire. </STRONG></DIV> <DIV>&nbsp;</DIV> <DIV><STRONG>Dear Respectfu..."
Fraudulent,">From ENGR ALI KASIMNigerian National Petroleum Corporation, (NNPC),Garki, Abuja-Nigeria.Fraudulent2-3-2007 ATTN, IT IS MY PLEASURE TO WRITE THIS E-MAIL TO YOU BELIEVING THAT YOU WILL FIND IT INTERESTING TO ..."
Fraudulent,"confidential.Thanks and God bless you.BestRegard:BRIDGET LUZA (MRS)FOR THE FAMILY---------------------------------Do you Yahoo!?Yahoo! Platinum - Watch CBS' NCAA March Madness, live on your desktop!"
